id_desa,prediksi,status_prediksi
1111080060,0,Tertinggal
1111080061,0,Tertinggal
1111080062,0,Tertinggal
1111080063,0,Tertinggal
1111080064,0,Tertinggal
1111080065,0,Tertinggal
1111080066,0,Tertinggal
1111080067,0,Tertinggal
1111080068,0,Tertinggal
1111080069,1,Maju
1111080070,0,Tertinggal
1111081001,0,Tertinggal
1111081002,0,Tertinggal
1111081003,0,Tertinggal
1111081004,0,Tertinggal
1111081005,0,Tertinggal
1111081006,0,Tertinggal
1111081007,0,Tertinggal
1111081008,0,Tertinggal
1111081009,0,Tertinggal
1111081010,0,Tertinggal
1111081011,0,Tertinggal
1111081012,0,Tertinggal
1111081013,0,Tertinggal
1111081014,0,Tertinggal
1111081015,0,Tertinggal
1111081016,0,Tertinggal
1111081017,0,Tertinggal
1111081018,1,Maju
1111081019,0,Tertinggal
1111081020,0,Tertinggal
1111081021,0,Tertinggal
1111081022,1,Maju
1111081023,0,Tertinggal
1111090001,1,Maju
1111090002,1,Maju
1111090003,1,Maju
1111090004,0,Tertinggal
1111090005,0,Tertinggal
1111090006,0,Tertinggal
1111090007,1,Maju
1111090008,0,Tertinggal
1111090009,0,Tertinggal
1111090010,1,Maju
1111090011,0,Tertinggal
1111090012,0,Tertinggal
1111090013,0,Tertinggal
1111090014,1,Maju
1111090015,0,Tertinggal
1111090016,0,Tertinggal
1111090017,0,Tertinggal
1111090018,0,Tertinggal
1111090019,0,Tertinggal
1111090020,0,Tertinggal
1111090021,0,Tertinggal
1111090022,0,Tertinggal
1111090023,0,Tertinggal
1111090024,0,Tertinggal
1111090025,0,Tertinggal
1111090026,0,Tertinggal
1111090027,0,Tertinggal
1111090028,0,Tertinggal
1111090029,0,Tertinggal
1111090030,0,Tertinggal
1111090031,1,Maju
1111090032,1,Maju
1111090033,0,Tertinggal
1111100001,0,Tertinggal
1111100002,1,Maju
1111100003,1,Maju
1111100004,0,Tertinggal
1111100005,0,Tertinggal
1111100006,0,Tertinggal
1111100007,0,Tertinggal
1111100009,0,Tertinggal
1111100010,1,Maju
1111100011,1,Maju
1111100012,0,Tertinggal
1111100013,0,Tertinggal
1111100014,1,Maju
1111100015,1,Maju
1111100016,0,Tertinggal
1111100017,0,Tertinggal
1111100023,0,Tertinggal
1111100024,0,Tertinggal
1111100025,0,Tertinggal
1111100026,0,Tertinggal
1111100027,1,Maju
1111100028,0,Tertinggal
1111100029,0,Tertinggal
1111100030,0,Tertinggal
1111100032,1,Maju
1111100033,0,Tertinggal
1111100034,0,Tertinggal
1111100035,0,Tertinggal
1111100036,0,Tertinggal
1111100037,0,Tertinggal
1111100040,1,Maju
1111100041,1,Maju
1111100042,0,Tertinggal
1111100043,0,Tertinggal
1111100044,1,Maju
1111100045,0,Tertinggal
1111100057,0,Tertinggal
1111100058,0,Tertinggal
1111100059,0,Tertinggal
1111100060,0,Tertinggal
1111100061,1,Maju
1111100062,1,Maju
1111100063,1,Maju
1111100064,0,Tertinggal
1111100065,1,Maju
1111100066,0,Tertinggal
1111100067,0,Tertinggal
1111100068,0,Tertinggal
1111100069,0,Tertinggal
1111100070,0,Tertinggal
1111100074,0,Tertinggal
1111100075,0,Tertinggal
1111100076,0,Tertinggal
1111100077,0,Tertinggal
1111100078,0,Tertinggal
1111100079,0,Tertinggal
1111100080,0,Tertinggal
1111101001,0,Tertinggal
1111101002,0,Tertinggal
1111101003,0,Tertinggal
1111101004,0,Tertinggal
1111101005,0,Tertinggal
1111101006,0,Tertinggal
1111101007,0,Tertinggal
1111101008,0,Tertinggal
1111101009,0,Tertinggal
1111101010,1,Maju
1111101011,0,Tertinggal
1111101012,0,Tertinggal
1111101013,0,Tertinggal
1111101014,0,Tertinggal
1111101015,1,Maju
1111101016,1,Maju
1111101017,0,Tertinggal
1111101018,1,Maju
1111101019,0,Tertinggal
1111101020,0,Tertinggal
1111101021,0,Tertinggal
1111101022,0,Tertinggal
1111101023,0,Tertinggal
1111101024,0,Tertinggal
1111101025,0,Tertinggal
1111101026,0,Tertinggal
1111110001,0,Tertinggal
1111110002,0,Tertinggal
1111110003,0,Tertinggal
1111110004,0,Tertinggal
1111110005,0,Tertinggal
1111110006,0,Tertinggal
1111110007,1,Maju
1111110008,0,Tertinggal
1111110009,0,Tertinggal
1111110010,0,Tertinggal
1111110011,0,Tertinggal
1111110012,1,Maju
1111110013,0,Tertinggal
1111110014,1,Maju
1111110015,0,Tertinggal
1111110016,0,Tertinggal
1111110017,0,Tertinggal
1111110018,1,Maju
1111110019,0,Tertinggal
1111110020,1,Maju
1111110021,0,Tertinggal
